us diff,GForcesX_1,GForcesY_1,GForcesZ_1,Temp1,GForcesX_2,GForcesY_2,GForcesZ_2,Temp2
1849,-1.147949,0.944092,1.390625,23.074118,-1.064453,-0.000000,1.325195,26.509413
2633,-1.144043,0.944092,1.382324,23.685883,-1.079102,-0.006592,1.318604,26.509413
1913,-1.146484,0.943848,1.382812,23.027060,-1.056641,-0.119385,1.320068,27.450588
1975,-1.147461,0.941406,1.377197,23.074118,-1.046143,-0.093506,1.290283,26.603529
2703,-1.149170,0.941895,1.387695,23.074118,-1.094971,-0.206299,1.339600,26.650589
1906,-1.141602,0.938477,1.381836,23.027060,-1.086670,-0.188477,1.283936,26.650589
2988,-1.147461,0.945068,1.384521,22.980000,-1.086426,-0.065430,1.330811,26.791765
1882,-1.148438,0.935791,1.387939,23.685883,-1.061035,-0.000000,1.340332,26.791765
2067,-1.147949,0.936035,1.383789,22.980000,-1.028320,-0.000000,1.315430,26.838823
1847,-1.142578,0.942139,1.384521,23.027060,-1.041748,-0.116699,1.323242,26.885883
2221,-1.142090,0.939453,1.387939,22.980000,-1.047363,-0.131592,1.331787,26.885883
2829,-1.146973,0.936279,1.387451,22.980000,-1.062256,-0.112305,1.319092,26.980000
1901,-1.148438,0.939453,1.381836,23.027060,-1.092041,-0.143555,1.333984,26.980000
2591,-1.147705,0.936035,1.385254,23.027060,-1.062988,-0.256348,1.321533,27.027060
1889,-1.140625,0.941162,1.384277,23.121176,-1.049805,-0.250732,1.294189,26.980000
2804,-1.140869,0.934570,1.390625,23.074118,-1.044678,-0.000000,1.305176,27.074118
1930,-1.144043,0.939453,1.387939,23.121176,-1.031982,-0.021484,1.330811,27.121176
2013,-1.145996,0.941650,1.383057,23.168236,-1.070557,-0.172363,1.323486,27.121176
1664,-1.144775,0.948242,1.383301,22.932941,-1.081787,-0.003418,1.319092,27.121176
8630,-1.151123,0.935547,1.391357,23.074118,-1.080566,-0.003662,1.321533,27.309412
11859,-1.146240,0.941650,1.380859,23.027060,-1.078857,-0.000000,1.328613,27.356470
1823,-1.143799,0.939941,1.391846,22.980000,-1.086426,-0.112061,1.314453,27.403530
1942,-1.144043,0.937988,1.383301,23.027060,-1.088135,-0.035889,1.346680,28.203529
2212,-1.143066,0.939453,1.380859,23.027060,-1.072998,-0.063721,1.314941,27.403530
1882,-1.146973,0.935059,1.381836,22.980000,-1.041260,-0.115723,1.321289,27.403530
2003,-1.145996,0.937744,1.385498,23.074118,-1.071045,-0.328125,1.316406,27.450588
1822,-1.145752,0.937256,1.387207,23.074118,-1.069092,-0.144775,1.340820,27.591764
1645,-1.146973,0.943604,1.378174,23.074118,-1.069580,-0.312256,1.330322,27.544706
9375,-1.146240,0.941406,1.375244,22.980000,-1.054688,-0.137207,1.313232,27.591764
1512,-1.152344,0.940918,1.390869,23.074118,-1.062256,-0.137939,1.327637,27.638824
1657,-1.144775,0.939941,1.386963,22.227058,-1.057617,-0.286377,1.318604,27.591764
2049,-1.147217,0.939697,1.389160,23.027060,-1.075928,-0.250488,1.334473,27.638824
1834,-1.140869,0.942627,1.395020,23.027060,-0.802979,-0.093262,1.330078,27.638824
2373,-1.155518,0.939697,1.385742,23.027060,-1.094482,-0.045410,1.330566,27.685883
2728,-1.141846,0.942871,1.381592,23.027060,-1.111572,-0.137451,1.340820,27.827059
2094,-1.141846,0.936768,1.392822,23.074118,-1.076416,-0.111816,1.316162,27.780001
1985,-1.148926,0.940186,1.384033,23.685883,-1.120850,-0.091553,1.325195,27.732941
2117,-1.145996,0.940430,1.394287,23.027060,-1.084473,-0.093750,1.336426,27.827059
2137,-1.142334,0.939697,1.379395,23.027060,-1.028320,-0.104248,1.354980,27.732941
1896,-1.148682,0.943848,1.382080,23.121176,-1.104004,-0.082275,1.376953,27.827059
2220,-1.150635,0.941895,1.387207,23.027060,-1.072510,-0.163574,1.366455,27.827059
1840,-1.147461,0.933350,1.394531,23.027060,-1.107422,-0.244873,1.371338,27.921177
2014,-1.149414,0.950439,1.383545,22.980000,-1.127197,-0.196777,1.327881,27.874119
5254,-1.139893,0.939209,1.390137,23.074118,-1.050293,-0.123047,1.203125,27.827059
3415,-1.148682,0.937012,1.385254,23.074118,-1.071777,-0.185303,1.301514,28.015295
1897,-1.149658,0.940674,1.383789,22.980000,-0.995605,-0.106201,1.370361,28.015295
2004,-1.143799,0.934570,1.382324,23.027060,-1.092773,-0.185303,1.388428,27.921177
1655,-1.144287,0.941650,1.377930,23.121176,-1.041992,-0.216064,1.390137,27.968235
11347,-1.140869,0.946289,1.385010,23.074118,-1.109863,-0.170654,1.336670,28.015295
1514,-1.146729,0.945068,1.380615,23.027060,-1.173584,-0.000000,1.380615,27.968235
2541,-1.147217,0.935303,1.383301,23.121176,-1.060059,-0.269775,1.338623,28.062353
1931,-1.148926,0.935547,1.385254,23.074118,-1.075439,-0.144287,1.349609,28.109411
1958,-1.150879,0.941650,1.392334,22.227058,-1.038574,-0.174316,1.337646,28.015295
1910,-1.147705,0.941650,1.386475,23.027060,-1.062256,-0.172852,1.348145,28.062353
1800,-1.145508,0.941895,1.378662,23.027060,-1.071777,-0.206299,1.354248,28.062353
2044,-1.151367,0.944092,1.388672,22.227058,-0.865967,-0.015869,1.402344,28.062353
1833,-1.143311,0.940918,1.384277,23.685883,-0.972412,-0.251221,1.371338,28.015295
1866,-1.142334,0.937500,1.385254,22.980000,-1.201416,-0.283691,1.316406,28.062353
